replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
2,20,190,4,25.0156,0.799545,0.705973,2.82389
2,20,512,4,27.5797,0.72522,0.636209,5.82259
2,50,0,4,25.5168,1.95964,1.84401,1.77025
2,50,190,4,26.7006,1.87265,1.74776,6.99102
2,50,512,4,31.9433,1.56591,1.46327,13.3919
2,100,0,4,29.3135,3.41147,3.26572,3.13509
2,100,190,4,35.7405,2.79873,2.67445,10.6978
2,100,512,4,39.2256,2.54942,2.45587,22.4762
2,150,0,4,35.5956,4.21414,4.08637,3.92291
2,150,190,4,37.3357,4.01767,3.87834,15.5133
2,150,512,4,45.5202,3.29533,3.183,29.1308
2,180,0,4,34.9249,5.15396,4.9923,4.7926
2,180,190,4,42.1522,4.27027,4.11429,16.4571
2,180,512,4,45.8922,3.92229,3.77056,34.5082
2,200,0,4,38.1573,5.24166,5.09033,4.88671
2,200,190,4,40.9307,4.88645,4.71089,18.8436
2,200,512,4,55.9982,3.57163,3.48008,31.8497
2,250,0,4,40.7257,6.14672,5.97155,5.73269
2,250,190,4,46.9946,5.31981,5.16807,20.6723
2,250,512,4,57.0165,4.38507,4.02263,36.8151
2,300,0,4,39.7845,7.54082,7.23354,6.9442
2,300,190,4,48.3485,6.20504,6.04249,24.1699
2,300,512,4,75.5145,3.97287,4.10826,37.5988
2,350,0,4,45.746,7.67354,7.53411,7.23274
2,350,190,4,49.2813,7.10217,6.80051,27.2021
2,350,512,4,89.2981,3.91948,3.9193,35.8695
2,400,0,4,49.6599,8.05514,8.06357,7.74102
2,400,190,4,53.8932,7.43161,7.36301,29.452
2,400,512,4,101.764,3.93071,4.10734,37.5904
3,1,0,4,247.145,0.004047,0,0
3,1,190,4,204.377,0.00489572,0,0
3,1,512,4,258.947,0.0038624,0,0
3,20,0,4,23.2253,0.86117,0.684542,0.985741
3,20,190,4,26.0014,0.769223,0.599983,3.5999
3,20,512,4,27.5926,0.724848,0.563545,7.73634
3,50,0,4,26.5322,1.88463,1.60568,2.31218
3,50,190,4,28.4312,1.75901,1.46558,8.79346
3,50,512,4,32.2468,1.55068,1.32536,18.1945
3,100,0,4,30.128,3.3192,3.09016,4.44983
3,100,190,4,32.6986,3.06187,2.00528,12.0317
3,100,512,4,39.9074,2.50582,2.3265,31.9382
3,150,0,4,35.8774,4.18102,3.8737,5.57813
3,150,190,4,38.4203,3.90429,3.57661,21.4596
3,150,512,4,57.4097,2.61281,2.43283,33.3979
3,180,0,4,34.4559,5.22436,5.04274,7.26154
3,180,190,4,40.4368,4.45149,3.92438,23.5463
3,180,512,4,58.6641,3.07369,2.79803,38.4114
3,200,0,4,36.5362,5.48712,5.33165,7.67757
3,200,190,4,39.8873,5.01418,4.7934,28.7604
3,200,512,4,52.0734,3.84076,3.69033,50.6609
3,250,0,4,38.8305,6.49663,6.12472,8.8196
3,250,190,4,48.6156,5.14244,4.92062,29.5237
3,250,512,4,59.9214,4.17239,3.18732,43.7555
3,300,0,4,42.6313,7.06336,6.87905,9.90584
3,300,190,4,311.071,5.70386,5.46657,32.7994
3,300,512,4,71.2824,4.20888,3.48351,47.8216
3,350,0,4,47.0442,7.44024,6.61484,9.52537
3,350,190,4,184.459,6.20706,5.75989,34.5594
3,350,512,4,134.58,2.6007,2.5426,34.9048
3,400,0,4,52.9628,7.553,7.39331,10.6464
3,400,190,4,66.4057,6.024,5.83612,35.0167
3,400,512,4,401.915,2.88708,2.47934,34.0364
